╊┾╂,any
╊╀╂,each
╊┼╄,his_her
╊┾┾,many
╊╀┾,half
╊┼╁,other
╊┼╀,the
╊╀╆,every
╊╀╄,either
╊┾╁,some
╊┾╄,most
╊┼╂,another
╊┾╀,much
╊┼┾,this
╊┾┼,few
╊╂╆,6_11
╊╂╀,1_11
╊╄╄,last_of_these
╊╂╄,3_11
╊╂╃,9_11
╊╂╊,7_11
╊╂┾,2_11
╊╄╁,other_of_these
╊╁┽,this_place
╊╄┾,previous_of_these
╊╂╂,5_11
╊╁╀,this_action
╊╁╇,this_time_frame
╊╄┼,first_of_these
╊╁╊,this_person
╊╁╂,this_concept
╊╁┾,this_animal
╊╄╀,next_of_these
╊╁┿,this_thing
╊╂╁,4_11
╊╁╃,this_reason
╊╁╄,this_approach
╊╁╆,this_context
╊╁╁,this_characteristic
╊╂┽,8_11
╊╂┼,0_11
╊╂┿,10_11
╊╁┼,this
╊╂╇,11_11
